val, pci_read_config_byte, e752x_probe1 , ptr-write
where, pci_read_config_dword, e752x_get_error_info , val-sen-branch (norm_branch)
val, pci_read_config_dword, e752x_get_error_info , ptr-write
where, pci_read_config_word, e752x_get_error_info , val-sen-branch (norm_branch)
val, pci_read_config_word, e752x_get_error_info , ptr-write
dev, pci_dev_put, e752x_probe1 , ptr-sen-branch ( senapi: norm_branch)
bus, pci_scan_single_device, e752x_get_devs , ptr-sen-api (pci_get_slot)
devfn, pci_scan_single_device, e752x_get_devs , val-sen-branch (norm_branch)
devfn, pci_scan_single_device, e752x_get_devs , val-sen-api (pci_get_slot)
where, pci_write_config_word, e752x_init_error_reporting_regs , val-sen-branch (norm_branch)
where, pci_write_config_dword, e752x_init_error_reporting_regs , val-sen-branch (norm_branch)
dev, pci_dev_get, e752x_get_devs , ptr-sen-branch ( senapi: norm_branch)
vendor, pci_get_device, e752x_get_devs , val-sen-api (pci_get_subsys)
device, pci_get_device, e752x_get_devs , val-sen-api (pci_get_subsys)
from, pci_get_device, e752x_get_devs , ptr-sen-api (pci_get_subsys)
from, pci_get_device, e752x_get_devs , ptr-sen-branch ( senapi: norm_branch)
dev, pci_enable_device, e752x_init_one , ptr-sen-api (pci_set_power_state)
dev, pci_enable_device, e752x_init_one , ptr-sen-branch ( senapi: norm_branch)
top_layer, edac_mc_handle_error, do_process_ce , val-sen-branch (norm_branch)
mid_layer, edac_mc_handle_error, do_process_ce , val-sen-branch (norm_branch)
low_layer, edac_mc_handle_error, do_process_ce , val-sen-branch (buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L1025)
msg, edac_mc_handle_error, do_process_ce , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %90 = getelementptr [1 x i8], [1 x i8]* @.str.44.161, i64 0, i64 0)
other_detail, edac_mc_handle_error, do_process_ce , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %99 = getelementptr [1 x i8], [1 x i8]* @.str.44.161, i64 0, i64 0)
page, edac_mc_find_csrow_by_page, do_process_ce , val-sen-branch (norm_branch)
dev, edac_mc_del_mc, e752x_remove_one , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, e752x_probe1 , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, e752x_probe1 , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, e752x_probe1 , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, e752x_probe1 , ptr-sen-branch ( senapi: norm_branch)
n_layers, edac_mc_alloc, e752x_probe1 , val-sen-api (kmalloc)
n_layers, edac_mc_alloc, e752x_probe1 , val-sen-branch (norm_branch)
n_layers, edac_mc_alloc, e752x_probe1 , num-arith ( memcpy )
layers, edac_mc_alloc, e752x_probe1 , ptr-sen-api (memcpy)
sz_pvt, edac_mc_alloc, e752x_probe1 , val-sen-branch (norm_branch)
sz_pvt, edac_mc_alloc, e752x_probe1 , val-sen-api (kmalloc)
