dev, pci_dev_put, i5000_put_devices , ptr-sen-branch ( senapi: norm_branch)
vendor, pci_get_device, i5000_get_devices , val-sen-api (pci_get_subsys)
device, pci_get_device, i5000_get_devices , val-sen-api (pci_get_subsys)
from, pci_get_device, i5000_get_devices , ptr-sen-branch ( senapi: norm_branch)
from, pci_get_device, i5000_get_devices , ptr-sen-api (pci_get_subsys)
where, pci_read_config_dword, i5000_get_error_info , val-sen-branch (norm_branch)
val, pci_read_config_dword, i5000_get_error_info , ptr-write
where, pci_read_config_word, i5000_get_error_info , val-sen-branch (norm_branch)
val, pci_read_config_word, i5000_get_error_info , ptr-write
top_layer, edac_mc_handle_error, i5000_process_nonfatal_error_info , val-sen-branch (norm_branch)
mid_layer, edac_mc_handle_error, i5000_process_nonfatal_error_info , val-sen-branch (norm_branch)
low_layer, edac_mc_handle_error, i5000_process_nonfatal_error_info , val-sen-branch (buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L1025)
msg, edac_mc_handle_error, i5000_process_nonfatal_error_info , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %90 = getelementptr [1 x i8], [1 x i8]* @.str.44.36, i64 0, i64 0)
other_detail, edac_mc_handle_error, i5000_process_nonfatal_error_info , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %99 = getelementptr [1 x i8], [1 x i8]* @.str.44.36, i64 0, i64 0)
where, pci_write_config_dword, i5000_get_error_info , val-sen-branch (norm_branch)
val, pci_read_config_byte, i5000_get_dimm_and_channel_counts , ptr-write
dev, pci_enable_device, i5000_init_one , ptr-sen-api (pci_set_power_state)
dev, edac_mc_del_mc, i5000_remove_one , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, i5000_probe1 , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, i5000_probe1 , ptr-sen-branch ( senapi: norm_branch)
mci->mc_idx, edac_mc_add_mc_with_groups, i5000_probe1 , val-sen-branch (norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, i5000_probe1 , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, i5000_probe1 , ptr-sen-branch ( senapi: norm_branch)
n_layers, edac_mc_alloc, i5000_probe1 , val-sen-api (kmalloc)
n_layers, edac_mc_alloc, i5000_probe1 , val-sen-branch (norm_branch)
n_layers, edac_mc_alloc, i5000_probe1 , num-arith ( memcpy )
layers, edac_mc_alloc, i5000_probe1 , ptr-sen-api (memcpy)
sz_pvt, edac_mc_alloc, i5000_probe1 , val-sen-branch (norm_branch)
sz_pvt, edac_mc_alloc, i5000_probe1 , val-sen-api (kmalloc)
