flags, init_timer_key, i5100_init_one , val-sen-branch (norm_branch)
top_layer, edac_mc_handle_error, i5100_handle_ue , val-sen-branch (norm_branch)
mid_layer, edac_mc_handle_error, i5100_handle_ue , val-sen-branch (norm_branch)
low_layer, edac_mc_handle_error, i5100_handle_ue , val-sen-branch (buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L1025)
msg, edac_mc_handle_error, i5100_handle_ue , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %90 = getelementptr [1 x i8], [1 x i8]* @.str.44.37, i64 0, i64 0)
other_detail, edac_mc_handle_error, i5100_handle_ue , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %99 = getelementptr [1 x i8], [1 x i8]* @.str.44.37, i64 0, i64 0)
dev, edac_mc_del_mc, i5100_remove_one , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, i5100_init_one , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, i5100_init_one , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, i5100_init_one , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, i5100_init_one , ptr-sen-branch ( senapi: norm_branch)
n_layers, edac_mc_alloc, i5100_init_one , val-sen-api (kmalloc)
n_layers, edac_mc_alloc, i5100_init_one , val-sen-branch (norm_branch)
n_layers, edac_mc_alloc, i5100_init_one , num-arith ( memcpy )
layers, edac_mc_alloc, i5100_init_one , ptr-sen-api (memcpy)
sz_pvt, edac_mc_alloc, i5100_init_one , val-sen-branch (norm_branch)
sz_pvt, edac_mc_alloc, i5100_init_one , val-sen-api (kmalloc)
dentry, debugfs_remove, i5100_remove_one , ptr-sen-branch ( senapi: norm_branch)
dwork, cancel_delayed_work_sync, i5100_remove_one , val-sen-branch (norm_branch)
dev, pci_disable_device, i5100_remove_one , ptr-sen-api (pci_disable_device)
dev, pci_enable_device, i5100_init_one , ptr-sen-api (pci_set_power_state)
dev, pci_dev_put, i5100_remove_one , ptr-sen-branch ( senapi: norm_branch)
where, pci_read_config_dword, i5100_check_error , val-sen-branch (norm_branch)
val, pci_read_config_dword, i5100_check_error , ptr-write
where, pci_read_config_word, i5100_init_interleaving , val-sen-branch (norm_branch)
val, pci_read_config_word, i5100_init_interleaving , ptr-write
where, pci_write_config_word, i5100_do_inject , val-sen-branch (norm_branch)
where, pci_write_config_dword, i5100_init_one , val-sen-branch (norm_branch)
vendor, pci_get_device, pci_get_device_func , val-sen-api (pci_get_subsys)
device, pci_get_device, pci_get_device_func , val-sen-api (pci_get_subsys)
from, pci_get_device, pci_get_device_func , ptr-sen-api (pci_get_subsys)
from, pci_get_device, pci_get_device_func , ptr-sen-branch ( senapi: norm_branch)
