msecs, msleep, write_and_test , val-sen-branch (norm_branch)
dev, pci_enable_device, i7core_get_onedevice , ptr-sen-api (pci_set_power_state)
top_layer, edac_mc_handle_error, i7core_rdimm_update_ce_count , val-sen-branch (norm_branch)
mid_layer, edac_mc_handle_error, i7core_rdimm_update_ce_count , val-sen-branch (norm_branch)
low_layer, edac_mc_handle_error, i7core_rdimm_update_ce_count , val-sen-branch (buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L1025)
msg, edac_mc_handle_error, i7core_rdimm_update_ce_count , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %90 = getelementptr [1 x i8], [1 x i8]* @.str.44.297, i64 0, i64 0)
msg, edac_mc_handle_error, i7core_rdimm_update_ce_count , ptr-sen-api (memset)
msg, edac_mc_handle_error, i7core_rdimm_update_ce_count , ptr-write
other_detail, edac_mc_handle_error, i7core_rdimm_update_ce_count , ptr-sen-api (memset)
other_detail, edac_mc_handle_error, i7core_rdimm_update_ce_count , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %99 = getelementptr [1 x i8], [1 x i8]* @.str.44.297, i64 0, i64 0)
other_detail, edac_mc_handle_error, i7core_rdimm_update_ce_count , ptr-write
dev, edac_mc_del_mc, i7core_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, i7core_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, i7core_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, i7core_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, i7core_register_mci , ptr-sen-branch ( senapi: norm_branch)
from, pci_find_next_bus, i7core_pci_lastbus , ptr-sen-branch ( senapi: norm_branch)
gfp, kasprintf, i7core_register_mci , val-sen-api (kmalloc)
dev, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev, device_del, i7core_create_sysfs_devices , val-sen-branch (norm_branch)
dev, device_del, i7core_create_sysfs_devices , val-sen-api (kobject_put)
dev->parent, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->type, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->bus, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->type, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->bus, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent, device_del, i7core_create_sysfs_devices , val-sen-branch (norm_branch)
dev->parent, device_del, i7core_create_sysfs_devices , val-sen-api (kobject_put)
dev->parent->parent, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent->type, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent->bus, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent->parent, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent->type, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent->bus, device_del, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev, pci_dev_put, i7core_get_onedevice , ptr-sen-branch ( senapi: norm_branch)
dev, put_device, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: kobject_put https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/base/core.c#L3772)
dev, put_device, i7core_create_sysfs_devices , val-sen-api (kobject_put)
where, pci_read_config_dword, set_sdram_scrub_rate , val-sen-branch (norm_branch)
val, pci_read_config_dword, set_sdram_scrub_rate , ptr-write
where, pci_write_config_dword, set_sdram_scrub_rate , val-sen-branch (norm_branch)
dev, pci_dev_get, i7core_get_onedevice , ptr-sen-branch ( senapi: norm_branch)
dev, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev, device_add, i7core_create_sysfs_devices , val-sen-api (kobject_put)
dev->parent, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->type, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->bus, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/base/core.c#L3423 |   %28 = getelementptr [7 x i8], [7 x i8]* @.str.102, i64 0, i64 0)
dev->type, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->bus, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/./include/linux/device.h#L718 |   %25 = getelementptr [1 x i8], [1 x i8]* @.str.73.30, i64 0, i64 0)
dev->parent->parent, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent->type, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
dev->parent->parent, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/base/core.c#L3423 |   %28 = getelementptr [7 x i8], [7 x i8]* @.str.102, i64 0, i64 0)
dev->parent->type, device_add, i7core_create_sysfs_devices , ptr-sen-branch ( senapi: norm_branch)
vendor, pci_get_device, i7core_get_onedevice , val-sen-api (pci_get_subsys)
device, pci_get_device, i7core_get_onedevice , val-sen-api (pci_get_subsys)
from, pci_get_device, i7core_get_onedevice , ptr-sen-api (pci_get_subsys)
from, pci_get_device, i7core_get_onedevice , ptr-sen-branch ( senapi: norm_branch)
mci, edac_mc_free, i7core_register_mci , val-sen-branch (kobject_put https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/base/core.c#L3772)
n_layers, edac_mc_alloc, i7core_register_mci , val-sen-api (kmalloc)
n_layers, edac_mc_alloc, i7core_register_mci , val-sen-branch (norm_branch)
n_layers, edac_mc_alloc, i7core_register_mci , num-arith ( memcpy )
layers, edac_mc_alloc, i7core_register_mci , ptr-sen-api (memcpy)
sz_pvt, edac_mc_alloc, i7core_register_mci , val-sen-branch (norm_branch)
sz_pvt, edac_mc_alloc, i7core_register_mci , val-sen-api (kmalloc)
busn, pcibios_scan_specific_bus, i7core_xeon_pci_fixup , val-sen-branch (norm_branch)
