top_layer, edac_mc_handle_error, skx_mce_output_error , val-sen-branch (norm_branch)
mid_layer, edac_mc_handle_error, skx_mce_output_error , val-sen-branch (norm_branch)
low_layer, edac_mc_handle_error, skx_mce_output_error , val-sen-branch (buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L1025)
msg, edac_mc_handle_error, skx_mce_output_error , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %90 = getelementptr [1 x i8], [1 x i8]* @.str.44.172, i64 0, i64 0)
msg, edac_mc_handle_error, skx_mce_output_error , ptr-sen-api (memset)
msg, edac_mc_handle_error, skx_mce_output_error , ptr-write
other_detail, edac_mc_handle_error, skx_mce_output_error , ptr-sen-api (memset)
other_detail, edac_mc_handle_error, skx_mce_output_error , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %99 = getelementptr [1 x i8], [1 x i8]* @.str.44.172, i64 0, i64 0)
other_detail, edac_mc_handle_error, skx_mce_output_error , ptr-write
dev, edac_mc_del_mc, skx_unregister_mci , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, skx_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, skx_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, skx_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, skx_register_mci , ptr-sen-branch ( senapi: norm_branch)
n_layers, edac_mc_alloc, skx_register_mci , val-sen-api (kmalloc)
n_layers, edac_mc_alloc, skx_register_mci , val-sen-branch (norm_branch)
n_layers, edac_mc_alloc, skx_register_mci , num-arith ( memcpy )
layers, edac_mc_alloc, skx_register_mci , ptr-sen-api (memcpy)
sz_pvt, edac_mc_alloc, skx_register_mci , val-sen-branch (norm_branch)
sz_pvt, edac_mc_alloc, skx_register_mci , val-sen-api (kmalloc)
dev, pci_enable_device, get_all_munits , ptr-sen-api (pci_set_power_state)
gfp, kasprintf, skx_register_mci , val-sen-api (kmalloc)
dev, pci_dev_put, skx_get_hi_lo , ptr-sen-branch ( senapi: norm_branch)
dentry, debugfs_remove, teardown_skx_debug , ptr-sen-branch ( senapi: norm_branch)
where, pci_read_config_dword, get_all_munits , val-sen-branch (norm_branch)
val, pci_read_config_dword, get_all_munits , ptr-write
dev, pci_dev_get, get_all_munits , ptr-sen-branch ( senapi: norm_branch)
vendor, pci_get_device, skx_get_all_bus_mappings , val-sen-api (pci_get_subsys)
device, pci_get_device, skx_get_all_bus_mappings , val-sen-api (pci_get_subsys)
from, pci_get_device, skx_get_all_bus_mappings , ptr-sen-api (pci_get_subsys)
from, pci_get_device, skx_get_all_bus_mappings , ptr-sen-branch ( senapi: norm_branch)
